title,price,year,mileage,fuel,engine,transmission
Toyota Fortuner  2021 2.8 Sigma 4 for Sale,14800000.0,2021,48000.0,Diesel,2800.0,Automatic
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior for Sale,6375000.0,2021,35000.0,Petrol,1800.0,Automatic
Toyota Corolla  2018 Altis Grande CVT-i 1.8 for Sale,4980000.0,2018,116612.0,Petrol,1800.0,Automatic
Toyota Aqua  2014 S for Sale,3175000.0,2014,138000.0,Hybrid,1500.0,Automatic
Mazda Rx7  1978  for Sale,100000.0,1978,100.0,Petrol,4000.0,Automatic
Suzuki Alto  2007 VXR (CNG) for Sale,830000.0000000001,2007,206913.0,CNG,1000.0,Manual
Honda BR-V  2021 i-VTEC S for Sale,5100000.0,2021,65000.0,Petrol,1500.0,Automatic
Toyota Aqua  2014 S for Sale,3300000.0,2014,70000.0,Hybrid,1500.0,Automatic
Suzuki Cultus  2010 VXRi (CNG) for Sale,1160000.0,2010,50000.0,LPG,1000.0,Manual
Suzuki Other  2005  for Sale,500000.0,2005,80000.0,Petrol,1000.0,Manual
Toyota Raize  2020 Z for Sale,6000000.0,2020,33000.0,Petrol,1000.0,Automatic
Honda Civic  2017 1.8 i-VTEC CVT for Sale,4500000.0,2017,89605.0,Petrol,1800.0,Automatic
Toyota Vitz  2013 F 1.0 for Sale,2700000.0,2013,103878.0,Petrol,1000.0,Automatic
Daihatsu Mira  2022 L SA III for Sale,3410000.0,2022,50731.0,Petrol,660.0,Automatic
Honda BR-V  2020  for Sale,4100000.0,2020,18374.0,Petrol,1500.0,Manual
Honda City 5th (GM2) Generation 2020 Aspire Prosmatec 1.5 i-VTEC for Sale,4250000.0,2020,77000.0,Petrol,1500.0,Automatic
Suzuki Cultus  2010 VXRi for Sale,1050000.0,2010,82140.0,Petrol,1000.0,Manual
Daihatsu Hijet  2016 Cruise for Sale,2050000.0,2016,92306.0,Petrol,660.0,Automatic
KIA Stonic  2022 EX+ for Sale,5050000.0,2022,29339.0,Petrol,1400.0,Automatic
Toyota Land Cruiser 6th (J100) Generation 2002 Cygnus for Sale,12500000.0,2002,72000.0,Petrol,4700.0,Automatic
Prince Pearl  2022 MT for Sale,1070000.0,2022,10000.0,Petrol,800.0,Manual
Honda BR-V  2020 i-VTEC S for Sale,4650000.0,2020,26941.0,Petrol,1500.0,Automatic
Toyota Corolla  2011 Altis Automatic 1.6 for Sale,3000000.0,2011,50000.0,Petrol,1600.0,Automatic
Suzuki Liana  2007 LXi Sport for Sale,1145000.0,2007,95600.0,Petrol,1300.0,Manual
Toyota Prius  2013 L 1.8 for Sale,3400000.0,2013,117000.0,Hybrid,1800.0,Automatic
Honda Civic  2019 1.8 i-VTEC CVT for Sale,5200000.0,2019,42561.0,Petrol,1800.0,Automatic
Toyota Raize  2020 XS for Sale,5100000.0,2020,67500.0,Petrol,1000.0,Automatic
Toyota Corolla  2011 GLi 1.3 VVTi for Sale,2800000.0,2011,179360.0,Petrol,1300.0,Manual
